fast_threshold,response_cutoff,max_keypoints,n_bins_x,n_bins_y,n_threshold_levels,threshold_max,n_dist_bits,dist_max_m,n_aruco_bins,angular_dead_zone,n_inputs,decay,threshold,reset,lr_shift,w_init,t_pre,t_post,tau_e_shift,dw_pos,dw_neg,w_min,w_max,mode,dopamine_correct_shift,dopamine_wrong_shift,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,128,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.4306475349521707,0.04981604120676972,0.3151098901098901,0.0458791208791208
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,128,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.39402133922001475,0.05292494481236204,0.3757554945054945,0.03042582417582415
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,128,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.2977189109639441,0.0028697571743929173,0.32417582417582413,0.033241758241758235
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,128,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.35550036791758644,0.0057947019867549965,0.2963598901098901,0.02657967032967029
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,192,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.38956953642384096,0.05917954378219284,0.3746565934065934,0.02548076923076928
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,192,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.6572295805739514,0.00034952170713759,0.27451923076923074,0.0011675824175824134
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,192,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.5071376011773363,0.027998528329654104,0.35995879120879115,0.00405219780219776
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,192,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.3410228108903606,0.0038999264164827074,0.31799450549450553,0.10233516483516482
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,256,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.38690213392200146,0.014385577630610685,0.4111950549450549,0.04072802197802189
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,256,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.3501287711552612,0.01149742457689476,0.4178571428571428,0.012499999999999928
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,256,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.3509565857247977,0.0066961000735835385,0.20302197802197802,0.006868131868131858
20,0.0,500,4,3,10,100,3,1.0,5,0.15,20,256,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.3021707137601177,0.029911699779249484,0.2996565934065934,0.04484890109890105
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,128,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.411019131714496,0.05980500367917585,0.3067994505494506,0.060782967032967095
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,128,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.6977740986019132,0.0001287711552612758,0.2977335164835164,0.0019917582417582347
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,128,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.2751471670345842,0.031475349521707136,0.2850274725274725,0.14217032967032966
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,128,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.35715599705665924,0.0061626195732156505,0.2636675824175824,0.044848901098901064
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,192,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.8094370860927151,0.00016556291390723565,0.3267170329670329,0.001304945054945078
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,192,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.7093267108167769,0.0001287711552612203,0.3030906593406593,0.0010302197802197766
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,192,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.3806843267108168,0.0793598233995585,0.3153846153846154,0.043269230769230754
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,192,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.36572847682119203,0.015103016924208984,0.2581730769230769,0.024656593406593375
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,256,512,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.5843083149374542,0.19884105960264903,0.28440934065934065,0.025343406593406587
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,256,512,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.7123804267844003,0.0021155261221486032,0.31291208791208786,0.0019230769230769162
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,256,1024,0,3,,2,3,4,64,8,8,255,rstdp,0,1,0.3245768947755704,0.010779985283296573,0.24388736263736266,0.0002060439560439553
20,0.0,500,4,3,10,100,3,2.0,3,0.15,18,256,1024,0,4,,2,3,4,64,8,8,255,rstdp,0,1,0.301177336276674,0.0008462104488594357,0.3987637362637363,0.025686813186813123
